Interval (ms),Utc (ms),ElapsedTime (Min),Steering (volt),GPSDOP (),GPSSats (),GPSQual (),Battery (Volts),Battery (Volts),AccelX (G),AccelY (G),AccelZ (G),Yaw (Deg/Sec),Pitch (Deg/Sec),Roll (Deg/Sec),Gsum (G),GsumMax (G),GsumPct (%),RPM (),GPIO1 (),LR_SGAMP_CA (),RR_SGAMP_RA (),RR_SGAMP_CA (),LR_SGAMP_CA (),LR_SGAMP_RA (),RF_SGAMP_CA (),RF_SGAMP_RA (),Latitude (Degrees),Longitude (Degrees),Speed (mph),Altitude (ft),GPSSats (),GPSQual (),GPSDOP (),LapCount (),LapTime (Min),Sector (),SectorTime (Min),PredTime (Min),CurrentLap (),Distance (mi),SessionTime (Min)
108054,1722833408600,108.0,4.277,0.5,1.0,1.0,1.24,12.09,0.05,-0.02,0.01,0.0,0.0,-0.0,0.05,0.06,82.0,0.0,0.0,0,0.0,-1986.0,-21070.0,-2107.0,-25.0,-6369.0,32.776684,-117.07058,0.13,472.9,17.0,2.0,1.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.8009
109054,1722833409600,109.0,4.104,0.5,1.0,1.0,1.24,11.99,0.05,-0.02,0.0,0.0,-0.0,-0.0,0.05,0.06,80.0,0.0,0.0,0,0.0,-1976.0,-22180.0,-2218.0,-25.0,-6368.0,32.776684,-117.07058,0.16,473.2,17.0,2.0,1.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.8176
110054,1722833410600,110.0,4.277,0.5,1.0,1.0,1.24,12.09,0.05,-0.02,0.01,0.0,-0.0,-0.0,0.05,0.06,81.0,0.0,0.0,0,0.0,-1986.0,-20930.0,-2093.0,-25.0,-6369.0,32.776684,-117.07058,0.06,473.4,17.0,2.0,1.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.8342
111054,1722833411599,111.0,4.45,0.5,1.0,1.0,1.24,12.0,0.05,-0.02,0.01,0.0,-0.0,-0.0,0.05,0.06,82.0,0.0,0.0,0,0.0,-1966.0,-22260.0,-2226.0,-25.0,-6372.0,32.776684,-117.07058,0.31,473.6,17.0,2.0,1.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.8509
112054,1722833412600,112.0,4.277,0.5,1.0,1.0,1.24,12.04,0.05,-0.02,0.01,0.0,-0.0,-0.0,0.05,0.06,81.0,0.0,0.0,0,0.0,-1966.0,-18220.0,-1822.0,-25.0,-6368.0,32.776684,-117.07058,0.23,473.7,17.0,2.0,1.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.8676
113054,1722833413601,113.0,4.277,0.5,1.0,1.0,1.24,12.07,0.05,-0.02,0.0,0.0,0.0,-0.0,0.05,0.06,80.0,0.0,0.0,0,0.0,-1956.0,-18850.0,-1885.0,-25.0,-6369.0,32.776684,-117.07058,0.02,473.9,17.0,2.0,1.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.8842
114054,1722833414600,114.0,4.364,0.5,1.0,1.0,1.24,11.99,0.05,-0.02,0.01,0.0,0.0,-0.0,0.05,0.06,81.0,0.0,0.0,0,0.0,-2016.0,-22490.0,-2249.0,-25.0,-6371.0,32.776684,-117.07058,0.05,473.9,17.0,2.0,1.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.9009
115054,1722833415599,115.0,4.19,0.5,1.0,1.0,1.24,12.09,0.05,-0.02,0.0,0.0,-0.0,-0.0,0.05,0.06,80.0,0.0,0.0,0,0.0,-1976.0,-19980.0,-1998.0,-25.0,-6374.0,32.776684,-117.07058,0.05,473.9,17.0,2.0,1.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.9176
116054,1722833416600,116.0,3.93,0.5,1.0,1.0,1.24,12.0,0.05,-0.02,0.01,0.0,-0.0,-0.0,0.05,0.06,82.0,0.0,0.0,0,0.0,-2006.0,-18990.0,-1899.0,-25.0,-6372.0,32.776684,-117.07058,0.05,474.0,17.0,2.0,1.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.9342
117054,1722833417601,117.0,4.19,0.5,1.0,1.0,1.24,12.09,0.05,-0.02,0.0,0.0,0.0,-0.0,0.05,0.06,80.0,0.0,0.0,0,0.0,-2036.0,-17140.0,-1714.0,-25.0,-6372.0,32.776684,-117.07058,0.02,474.2,17.0,2.0,1.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.9509
118054,1722833418600,118.0,3.93,0.5,1.0,1.0,1.24,12.01,0.05,-0.02,0.0,0.0,-0.0,-0.0,0.05,0.06,82.0,0.0,0.0,0,0.0,-1956.0,-19140.0,-1914.0,-25.0,-6371.0,32.776684,-117.07058,0.04,474.3,17.0,2.0,1.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.9676
119054,1722833419599,119.0,4.537,0.5,1.0,1.0,1.24,12.13,0.05,-0.02,0.0,0.0,-0.0,-0.0,0.05,0.06,77.0,0.0,0.0,0,0.0,-1966.0,-20220.0,-2022.0,-25.0,-6367.0,32.776684,-117.07058,0.26,474.5,17.0,2.0,1.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.9842
120054,1722833420600,120.0,4.277,0.6,1.0,1.0,1.24,12.17,0.05,-0.01,0.01,0.0,-0.0,-0.0,0.05,0.06,79.0,0.0,0.0,0,0.0,-2036.0,-19540.0,-1954.0,-25.0,-6372.0,32.776684,-117.07058,0.05,474.6,17.0,2.0,1.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0009
121054,1722833421600,121.0,4.19,0.6,1.0,1.0,1.24,12.13,0.05,-0.02,0.01,0.0,-0.0,-0.0,0.05,0.06,78.0,0.0,0.0,0,0.0,-1836.0,-20430.0,-2043.0,-25.0,-6378.0,32.776684,-117.07058,0.31,474.8,17.0,2.0,1.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0176
122054,1722833422600,122.0,4.537,0.6,1.0,1.0,1.24,12.35,0.05,-0.01,0.01,0.0,-0.0,-0.0,0.05,0.06,81.0,0.0,0.0,0,0.0,-1936.0,-18720.0,-1872.0,-25.0,-6368.0,32.776684,-117.07058,0.0,474.9,17.0,2.0,1.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0342
123054,1722833423599,123.0,4.19,0.6,1.0,1.0,1.24,12.26,0.05,-0.02,0.01,0.0,-0.0,-0.0,0.05,0.07,70.0,0.0,0.0,0,0.0,-2016.0,-18630.0,-1863.0,-25.0,-6368.0,32.776684,-117.07058,0.15,474.9,17.0,2.0,1.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0509
124054,1722833424600,124.0,4.364,0.6,1.0,1.0,1.25,12.29,0.05,-0.02,0.01,0.0,-0.0,-0.0,0.05,0.07,71.0,0.0,0.0,0,0.0,-1966.0,-16300.0,-1630.0,-25.0,-6373.0,32.776684,-117.07058,0.17,474.9,17.0,2.0,1.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0676
125054,1722833425601,125.0,4.277,0.6,1.0,1.0,1.25,12.31,0.05,-0.02,0.01,0.0,0.0,-0.0,0.05,0.07,71.0,0.0,0.0,0,0.0,-1936.0,-18880.0,-1888.0,-25.0,-6371.0,32.776684,-117.07058,0.14,475.2,17.0,2.0,1.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0842
126054,1722833426600,126.0,4.19,0.6,1.0,1.0,1.25,12.31,0.05,-0.02,0.01,0.0,0.0,-0.0,0.05,0.07,72.0,0.0,0.0,0,0.0,-1966.0,-21880.0,-2188.0,-25.0,-6361.0,32.776684,-117.07058,0.32,475.4,17.0,2.0,1.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.1009
